model,mean_rank,bt_score,std_error,ci_lower,ci_upper,top_k_probabilities
gpt-4,1.0,1.9218054830090705,0.0498435725661675,1.8312202371991089,2.018920011252013,top1=1.000; top3=1.000; top5=1.000; top10=1.000
claude-v1,2.038,1.541812637395231,0.0471080696137333,1.4573889614835531,1.6371949361829683,top1=0.000; top3=1.000; top5=1.000; top10=1.000
claude-instant-v1,2.962,1.4084717717190096,0.0545039220663778,1.3126714379375262,1.5225136245054365,top1=0.000; top3=1.000; top5=1.000; top10=1.000
gpt-3.5-turbo,4.0,1.0578716703244295,0.0399000874400286,0.9835885163946808,1.1299452229999554,top1=0.000; top3=0.000; top5=1.000; top10=1.000
guanaco-33b,5.066,0.6667242085376879,0.0773992881205435,0.5269539305569947,0.8095999284500826,top1=0.000; top3=0.000; top5=0.951; top10=1.000
vicuna-13b,6.307,0.5100732677615043,0.0346590129964546,0.4418474793422828,0.5684150358252659,top1=0.000; top3=0.000; top5=0.028; top10=1.000
wizardlm-13b,7.052,0.4542432204627526,0.0753241833523093,0.3006071065937075,0.588735658648114,top1=0.000; top3=0.000; top5=0.020; top10=1.000
palm-2,7.576,0.4227636501255012,0.0464603733068613,0.3365519890067279,0.5165841681847021,top1=0.000; top3=0.000; top5=0.001; top10=1.000
vicuna-7b,9.003,0.199728771544035,0.0487982600212675,0.1163415519795115,0.2912147864663227,top1=0.000; top3=0.000; top5=0.000; top10=1.000
koala-13b,9.996,0.0407377028325543,0.0352800154451931,-0.0323629022935155,0.1081186748336504,top1=0.000; top3=0.000; top5=0.000; top10=1.000
gpt4all-13b-snoozy,11.574,-0.3438313485762658,0.0791820547039048,-0.5083248962939214,-0.1930168247194676,top1=0.000; top3=0.000; top5=0.000; top10=0.000
mpt-7b-chat,11.85,-0.37555816004958,0.0500689146765543,-0.4738115122144172,-0.287990916072402,top1=0.000; top3=0.000; top5=0.000; top10=0.000
rwkv-4-raven-14b,12.601,-0.4241525095417233,0.0442037173265196,-0.5131095366341012,-0.3414275854018211,top1=0.000; top3=0.000; top5=0.000; top10=0.000
alpaca-13b,14.403,-0.5918963455930866,0.0400623561084043,-0.6591647058917287,-0.5100218636525148,top1=0.000; top3=0.000; top5=0.000; top10=0.000
oasst-pythia-12b,14.572,-0.6011259648989067,0.0388239949076856,-0.6826186694149374,-0.5278875312868979,top1=0.000; top3=0.000; top5=0.000; top10=0.000
fastchat-t5-3b,16.166,-0.8464422278570467,0.0500705107625561,-0.9379876930500548,-0.7484667253729591,top1=0.000; top3=0.000; top5=0.000; top10=0.000
chatglm-6b,16.834,-0.916662332739552,0.0489856165712716,-1.015170510159124,-0.8192972399528491,top1=0.000; top3=0.000; top5=0.000; top10=0.000
stablelm-tuned-alpha-7b,18.049,-1.2092457980756903,0.0550482441141945,-1.325995953277206,-1.1144776445621691,top1=0.000; top3=0.000; top5=0.000; top10=0.000
dolly-v2-12b,18.958,-1.3510743442437438,0.0559562460672809,-1.4862561252667672,-1.2299056111024422,top1=0.000; top3=0.000; top5=0.000; top10=0.000
llama-13b,19.993,-1.5642433521361812,0.0663574599551383,-1.6817158779137094,-1.434494300150086,top1=0.000; top3=0.000; top5=0.000; top10=0.000
